class,genus,species,adult_body_mass_g,longevity_y
Aves,Geranoaetus,melanoleucus,2433.75,42
Aves,Geranoaetus,polyosoma,880,-999
Aves,Geranospiza,caerulescens,303,-999
Aves,Gypaetus,barbatus,5606.041667,40
Aves,Gypohierax,angolensis,1600,27.1
Aves,Gyps,africanus,5442.5,19.7
Aves,Gyps,bengalensis,4871,17.2
Aves,Gyps,coprotheres,7862,19.7
Aves,Gyps,fulvus,7436,41.4
Aves,Gyps,himalayensis,10000,-999
Aves,Gyps,indicus,5705,-999
Aves,Gyps,rueppelli,7400,-999
Aves,Gyps,tenuirostris,5705,-999
Aves,Haliaeetus,albicilla,4793,29.83333333
Aves,Haliaeetus,humilis,782.25,-999
Aves,Haliaeetus,ichthyaetus,2037.5,-999
Aves,Haliaeetus,leucocephalus,4740,32.96666667
Aves,Haliaeetus,leucogaster,2751.5,10.41666667
Aves,Haliaeetus,leucoryphus,2807.5,-999
Aves,Haliaeetus,pelagicus,7224.75,25
Aves,Haliaeetus,sanfordi,2190,-999
Aves,Haliaeetus,vocifer,2806.5,24
Aves,Haliaeetus,vociferoides,3000,-999
Aves,Haliastur,indus,529,-999
Aves,Haliastur,sphenurus,755,10.9
Aves,Hamirostra,melanosternon,1196,-999
Aves,Harpagus,bidentatus,198.5,-999
Aves,Harpagus,diodon,200,-999
Aves,Harpia,harpyja,4800,16.8
Aves,Harpyopsis,novaeguineae,2000,30
Aves,Helicolestes,hamatus,424.5,-999
Aves,Henicopernis,longicauda,588.5,-999
Aves,Hieraaetus,ayresii,909.5,-999
Aves,Hieraaetus,morphnoides,791,10.3
Aves,Hieraaetus,pennatus,842,12
Aves,Hieraaetus,wahlbergi,787,11.8
Aves,Hieraaetus,weiskei,791,10.3
Aves,Ictinaetus,malaiensis,1027.75,-999
Aves,Ictinia,mississippiensis,281,9.583333333
Aves,Ictinia,plumbea,245.25,-999
Aves,Kaupifalco,monogrammicus,278,8.6
Aves,Leptodon,cayanensis,474,-999
Aves,Leptodon,forbesi,576,-999
Aves,Leucopternis,kuhli,322.5,-999
Aves,Leucopternis,melanops,312.5,-999
Aves,Leucopternis,occidentalis,656,-999
Aves,Leucopternis,semiplumbeus,287.5,-999
Aves,Lophaetus,occipitalis,1179.125,-999
Aves,Lophoictinia,isura,585.5,17
Aves,Lophotriorchis,kienerii,815.5,-999
Aves,Macheiramphus,alcinus,650,-999
Aves,Megatriorchis,doriae,1000,-999
Aves,Melierax,canorus,636,-999
Aves,Melierax,gabar,155.5,-999
Aves,Melierax,metabates,758.5,-999
Aves,Melierax,poliopterus,636,-999
Aves,Micronisus,gabar,166.25,-999
Aves,Milvus,aegyptius,828.5,23.75
Aves,Milvus,migrans,828.5,23.75
Aves,Milvus,milvus,1090,26
Aves,Morphnarchus,princeps,1000,-999
Aves,Morphnus,guianensis,1750,-999
Aves,Necrosyrtes,monachus,2075,-999
Aves,Neophron,percnopterus,2039.333333,37
Aves,Nisaetus,alboniger,830,-999
Aves,Nisaetus,bartelsi,-999,-999
Aves,Nisaetus,cirrhatus,1585,-999
Aves,Nisaetus,floris,1585,-999
Aves,Nisaetus,kelaarti,3000,-999
Aves,Nisaetus,nanus,560,-999
Aves,Nisaetus,nipalensis,3000,-999
Aves,Nisaetus,philippensis,1168,-999
Aves,Parabuteo,leucorrhous,339.5,-999
Aves,Parabuteo,unicinctus,939.63,15
Aves,Pernis,apivorus,762.5,29
Aves,Pernis,celebensis,722,-999
Aves,Pernis,ptilorhynchus,837.5,29
Aves,Pernis,steerei,722,-999
Aves,Pithecophaga,jefferyi,5325,41
Aves,Polemaetus,bellicosus,4706.75,19.5
Aves,Polyboroides,radiatus,-999,-999
Aves,Polyboroides,typus,637.5,-999
Aves,Pseudastur,albicollis,652,-999
Aves,Rostrhamus,sociabilis,382.5833333,17
Aves,Rupornis,magnirostris,276,-999
Aves,Sarcogyps,calvus,4550,-999
Aves,Spilornis,cheela,800,-999
Aves,Spilornis,holospilus,765.25,-999
Aves,Spilornis,kinabaluensis,800,-999
Aves,Spilornis,klossi,800,-999
Aves,Spilornis,minimus,800,-999
Aves,Spilornis,rufipectus,800,-999
Aves,Spizaetus,isidori,-999,-999
Aves,Spizaetus,melanoleucus,807.5,-999
Aves,Spizaetus,nanus,560,-999
Aves,Spizaetus,ornatus,1214.75,-999
Aves,Spizaetus,tyrannus,1067.25,-999
Aves,Stephanoaetus,coronatus,3643.75,17
Aves,Terathopius,ecaudatus,2278.166667,-999
Aves,Torgos,tracheliotos,6800,-999
Aves,Trigonoceps,occipitalis,3828.5,-999
Aves,Urotriorchis,macrourus,492,-999
Aves,Cathartes,aura,1776,16.83333333
Aves,Cathartes,burrovianus,1046,-999
Aves,Cathartes,melambrotus,1344,-999
Aves,Coragyps,atratus,2080.5,25.5
Aves,Gymnogyps,californianus,8800,45
Aves,Sarcoramphus,papa,3402.5,40
Aves,Vultur,gryphus,10500,75
Aves,Pandion,cristatus,1527.5,25
Aves,Pandion,haliaetus,1527.5,25
Aves,Sagittarius,serpentarius,3900,18.6
Aves,Aix,galericulata,560,9
Aves,Aix,sponsa,657.5,22.5
Aves,Alopochen,aegyptiaca,1900,25.5
Aves,Amazonetta,brasiliensis,400,-999
Aves,Anas,acuta,872.25,26.95
Aves,Anas,albogularis,472,17.08333333
Aves,Anas,americana,786,21.3
Aves,Anas,andium,420.25,-999
Aves,Anas,aucklandica,493.25,-999
Aves,Anas,bahamensis,532.5,6.225
Aves,Anas,bernieri,362.5,-999
Aves,Anas,capensis,403.3333333,-999
Aves,Anas,carolinensis,342.4,20.5
Aves,Anas,castanea,590,-999
Aves,Anas,chlorotis,500,-999
Aves,Anas,clypeata,613,20.4
Aves,Anas,crecca,343.8,21
Aves,Anas,cyanoptera,383,12.9
Aves,Anas,diazi,1123,25.49166667
Aves,Anas,discors,398.5,22.3
Aves,Anas,eatoni,841,26.95
Aves,Anas,erythrorhyncha,577.25,-999
Aves,Anas,falcata,649,-999
Aves,Anas,flavirostris,420.25,-999
Aves,Anas,formosa,435.5,-999
Aves,Anas,fulvigula,1082,23.25
Aves,Anas,georgica,585.6666667,-999
Aves,Anas,gibberifrons,481.75,17.08333333
Aves,Anas,gracilis,488.75,24.39166667
Aves,Anas,hottentota,240,-999
Aves,Anas,laysanensis,1082,23.4
Aves,Anas,luzonica,866.75,-999
Aves,Anas,melleri,973.25,-999
Aves,Anas,nesiotis,465.5,-999
Aves,Anas,penelope,757,18.25
Aves,Anas,platalea,523,-999
Aves,Anas,platyrhynchos,1121,29
Aves,Anas,poecilorhyncha,1163,-999
Aves,Anas,puna,554,-999
Aves,Anas,querquedula,334,14.58333333
Aves,Anas,rhynchotis,665,-999
Aves,Anas,rubripes,1153.666667,26.41666667
Aves,Anas,sibilatrix,830,-999
Aves,Anas,smithii,606.75,-999
Aves,Anas,sparsa,1000,-999
Aves,Anas,specularis,1461,-999
Aves,Anas,strepera,850,20.9
Aves,Anas,superciliosa,981,-999
Aves,Anas,undulata,917,6.083333333
Aves,Anas,versicolor,483.75,-999
Aves,Anas,wyvilliana,1105,25.49166667
Aves,Anas,zonorhyncha,1163,-999
Aves,Anser,albifrons,2387.5,25.25
Aves,Anser,anser,3308.5,26
Aves,Anser,brachyrhynchus,2707.5,25.58333333
Aves,Anser,cygnoides,3475,31
Aves,Anser,erythropus,1779.25,14.75
Aves,Anser,fabalis,2933,23
Aves,Anser,indicus,2413.75,-999
Aves,Anser,serrirostris,2933,23
Aves,Asarcornis,scutulata,3000,-999
Aves,Aythya,affinis,788.5,18.31666667
Aves,Aythya,americana,1056.25,21.4
Aves,Aythya,australis,840,-999
Aves,Aythya,baeri,696.25,-999
Aves,Aythya,collaris,730,20.4
Aves,Aythya,ferina,853.5,22.70833333
Aves,Aythya,fuligula,701.5,22
Aves,Aythya,innotata,685,-999
Aves,Aythya,marila,959,19.375
Aves,Aythya,novaeseelandiae,684.5,-999
Aves,Aythya,nyroca,574,8.708333333
Aves,Aythya,valisineria,1218.666667,22.4
Aves,Biziura,lobata,1697.5,-999
Aves,Branta,bernicla,1347.25,23.8
Aves,Branta,canadensis,3984.5,27.41666667
Aves,Branta,hutchinsii,3661.666667,25.85833333
Aves,Branta,leucopsis,1708.5,26.9
Aves,Branta,ruficollis,1242,-999
Aves,Branta,sandvicensis,2090,42
Aves,Bucephala,albeola,400,14.9
Aves,Bucephala,clangula,895.93,16.91666667
Aves,Bucephala,islandica,978.575,15.33333333
Aves,Cairina,moschata,2228,-999
Aves,Callonetta,leucophrys,321,-999
Aves,Camptorhynchus,histrionicus,750,-999
Aves,Camptorhynchus,labradorius,864,-999
Aves,Cereopsis,novaehollandiae,3770,28.1
Aves,Chen,caerulescens,2630.75,26.59166667
Aves,Chen,canagica,2718,9
Aves,Chen,rossii,1597.5,21.5
Aves,Chenonetta,jubata,812.5,-999
Aves,Chloephaga,hybrida,2327,-999
Aves,Chloephaga,melanoptera,3090,-999
Aves,Chloephaga,picta,2930,-999
Aves,Chloephaga,poliocephala,2227.75,-999
Aves,Chloephaga,rubidiceps,2000,-999
Aves,Clangula,hyemalis,814,15.6
Aves,Coscoroba,coscoroba,4050,-999
Aves,Cyanochen,cyanoptera,1520,-999
Aves,Cygnus,atratus,5656,35
Aves,Cygnus,buccinator,10300,26.5
Aves,Cygnus,columbianus,6350,22.29166667
Aves,Cygnus,cygnus,9413,25.16666667
Aves,Cygnus,melancoryphus,4275,20
Aves,Cygnus,olor,10230,27.6915
Aves,Dendrocygna,arborea,1150,-999
Aves,Dendrocygna,arcuata,776.6666667,-999
Aves,Dendrocygna,autumnalis,826.5,8.2
Aves,Dendrocygna,bicolor,743,6.5
Aves,Dendrocygna,eytoni,792,-999
Aves,Dendrocygna,guttata,800,-999
Aves,Dendrocygna,javanica,525,-999
Aves,Dendrocygna,viduata,674,12
Aves,Heteronetta,atricapilla,550,-999
Aves,Histrionicus,histrionicus,561.25,14.58333333
Aves,Hymenolaimus,malacorhynchos,832.6666667,-999
Aves,Lophodytes,cucullatus,617,11.3
Aves,Lophonetta,specularioides,949,-999
Aves,Malacorhynchus,membranaceus,360.75,-999
Aves,Marmaronetta,angustirostris,477,-999
Aves,Melanitta,americana,1052.2,16.75
Aves,Melanitta,deglandi,1732,15.6
Aves,Melanitta,fusca,1732,15.6
Aves,Melanitta,nigra,1052.2,16.775
Aves,Melanitta,perspicillata,1047,9.5
Aves,Merganetta,armata,391.75,-999
Aves,Mergellus,albellus,630,10
Aves,Mergus,australis,898,-999
Aves,Mergus,cucullatus,613.5,11.25
Aves,Mergus,merganser,1462.5,13.8
Aves,Mergus,octosetaceus,983,-999
Aves,Mergus,serrator,1042.583333,9.331666667
Aves,Mergus,squamatus,1164,-999
Aves,Neochen,jubata,1250,-999
Aves,Netta,erythrophthalma,783,6.666666667
Aves,Netta,peposaca,1005,7.5
Aves,Netta,rufina,1118,7.4
Aves,Nettapus,auritus,272.5,-999
Aves,Nettapus,coromandelianus,347,-999
Aves,Nettapus,pulchellus,305.5,-999
Aves,Nomonyx,dominicus,359.25,-999
Aves,Oxyura,australis,850,16
Aves,Oxyura,ferruginea,560,13.6
Aves,Oxyura,jamaicensis,550,13.6
