class,genus,species,adult_body_mass_g,longevity_y
Aves,Pericrocotus,cantonensis,19.6,-999
Aves,Pericrocotus,cinnamomeus,9,-999
Aves,Pericrocotus,divaricatus,24,-999
Aves,Pericrocotus,erythropygius,10.825,-999
Aves,Pericrocotus,ethologus,19,-999
Aves,Pericrocotus,flammeus,23.3,-999
Aves,Pericrocotus,igneus,9,-999
Aves,Pericrocotus,roseus,19.6,-999
Aves,Pericrocotus,solaris,14.25,-999
Aves,Pericrocotus,speciosus,23.3,-999
Aves,Pericrocotus,tegimae,24,-999
Aves,Amaurospiza,carrizalensis,13.15,-999
Aves,Amaurospiza,concolor,13.3,-999
Aves,Amaurospiza,moesta,13.675,-999
Aves,Cardinalis,cardinalis,43.05,15.8
Aves,Cardinalis,sinuatus,35.5,5.8
Aves,Caryothraustes,canadensis,34,-999
Aves,Caryothraustes,poliogaster,37.65,-999
Aves,Chlorothraupis,carmioli,38.95,-999
Aves,Chlorothraupis,frenata,38.95,-999
Aves,Chlorothraupis,olivacea,38.75,-999
Aves,Chlorothraupis,stolzmanni,39.8,-999
Aves,Cyanocompsa,brissonii,24.2,-999
Aves,Cyanocompsa,cyanoides,30,-999
Aves,Cyanocompsa,parellina,15.75,-999
Aves,Cyanoloxia,glaucocaerulea,17.975,-999
Aves,Granatellus,pelzelni,11.25,-999
Aves,Granatellus,sallaei,10.45,-999
Aves,Granatellus,venustus,10.8,-999
Aves,Habia,atrimaxillaris,48.9,-999
Aves,Habia,fuscicauda,38.475,-999
Aves,Habia,rubica,32.55,-999
Aves,Parkerthraustes,humeralis,37,-999
Aves,Passerina,amoena,15.15,8.9
Aves,Passerina,caerulea,28.4,5.917
Aves,Passerina,ciris,15.6,11
Aves,Passerina,cyanea,14.7,11
Aves,Passerina,leclancherii,13.775,-999
Aves,Passerina,rositae,20,-999
Aves,Passerina,versicolor,12.85,-999
Aves,Periporphyrus,erythromelas,48,-999
Aves,Pheucticus,aureoventris,49.75,-999
Aves,Pheucticus,chrysogaster,56.325,-999
Aves,Pheucticus,chrysopeplus,77.6,-999
Aves,Pheucticus,ludovicianus,45.1,7.3
Aves,Pheucticus,melanocephalus,45.55,11.91666667
Aves,Pheucticus,tibialis,69.95,-999
Aves,Piranga,bidentata,37.1875,-999
Aves,Piranga,erythrocephala,21.8,-999
Aves,Piranga,flava,38,-999
Aves,Piranga,hepatica,39.3,-999
Aves,Piranga,leucoptera,16.65,-999
Aves,Piranga,ludoviciana,30,7.9
Aves,Piranga,lutea,39.2,-999
Aves,Piranga,olivacea,28.825,10.1
Aves,Piranga,roseogularis,25.3,-999
Aves,Piranga,rubra,30,7.3
Aves,Piranga,rubriceps,35.9,-999
Aves,Rhodothraupis,celaeno,60,-999
Aves,Saltator,albicollis,38.75,-999
Aves,Saltator,atriceps,88.1,-999
Aves,Saltator,atricollis,53.8,-999
Aves,Saltator,atripennis,53.5,-999
Aves,Saltator,aurantiirostris,45,-999
Aves,Saltator,cinctus,48.3,-999
Aves,Saltator,coerulescens,54.9,-999
Aves,Saltator,grossus,45.6,-999
Aves,Saltator,maxillosus,50.9,-999
Aves,Saltator,maximus,46.6,-999
Aves,Saltator,nigriceps,45,-999
Aves,Saltator,orenocensis,33.7,-999
Aves,Saltator,similis,44.15,-999
Aves,Saltator,striatipectus,38.875,-999
Aves,Spiza,americana,26.9,4
Aves,Certhia,americana,9,4.6
Aves,Certhia,brachydactyla,8.325,5.725
Aves,Certhia,discolor,10.35,-999
Aves,Certhia,familiaris,9.1,7.425
Aves,Certhia,himalayana,8.925,-999
Aves,Certhia,hodgsoni,9.1,7.425
Aves,Certhia,manipurensis,10.35,-999
Aves,Certhia,nipalensis,11.1,-999
Aves,Salpornis,salvadori,15,-999
Aves,Salpornis,spilonotus,15,-999
Aves,Abroscopus,albogularis,-999,-999
Aves,Abroscopus,schisticeps,4.85,-999
Aves,Abroscopus,superciliaris,6.5,-999
Aves,Cettia,brunnifrons,7.5,-999
Aves,Cettia,castaneocoronata,9,-999
Aves,Cettia,cetti,13.875,7.55
Aves,Horornis,acanthizoides,5.45,-999
Aves,Horornis,annae,142.81,-999
Aves,Horornis,borealis,14.4,-999
Aves,Horornis,brunnescens,5.45,-999
Aves,Horornis,diphone,14.4,-999
Aves,Horornis,flavolivaceus,8,-999
Aves,Horornis,fortipes,9.75,-999
Aves,Horornis,parens,14,-999
Aves,Horornis,ruficapilla,12.475,-999
Aves,Horornis,seebohmi,12.75,-999
Aves,Phyllergates,cuculatus,5.9,-999
Aves,Phyllergates,heterolaemus,8.05,-999
Aves,Tesia,cyaniventer,9.95,-999
Aves,Tesia,olivea,7.25,-999
Aves,Tickellia,hodgsoni,4.5,-999
Aves,Urosphena,neumanni,14.2,-999
Aves,Urosphena,pallidipes,-999,-999
Aves,Urosphena,squameiceps,9.3,-999
Aves,Chaetops,aurantius,53.925,-999
Aves,Chaetops,frenatus,55.5,-999
Aves,Chloropsis,aurifrons,29,-999
Aves,Chloropsis,cochinchinensis,24.5,-999
Aves,Chloropsis,cyanopogon,22.1,-999
Aves,Chloropsis,flavipennis,35.4,-999
Aves,Chloropsis,hardwickii,32.75,-999
Aves,Chloropsis,jerdoni,24.5,-999
Aves,Chloropsis,media,40,-999
Aves,Chloropsis,palawanensis,30.65,-999
Aves,Chloropsis,sonnerati,42.75,-999
Aves,Cinclus,cinclus,61.7,10.58333333
Aves,Cinclus,leucocephalus,44,-999
Aves,Cinclus,mexicanus,55.9,5.1
Aves,Cinclus,pallasii,77,-999
Aves,Cinclus,schulzii,42.33333333,-999
Aves,Apalis,alticola,12.1,-999
Aves,Apalis,argentea,8,-999
Aves,Apalis,binotata,8.2,-999
Aves,Apalis,chapini,8.8,-999
Aves,Apalis,chariessa,-999,-999
Aves,Apalis,chirindensis,8.6,-999
Aves,Apalis,cinerea,9.775,-999
Aves,Apalis,flavida,8.175,-999
Aves,Apalis,flavigularis,11.175,-999
Aves,Apalis,fuscigularis,11.175,-999
Aves,Apalis,jacksoni,8.65,-999
Aves,Apalis,kaboboensis,8.5,-999
Aves,Apalis,karamojae,9.2,-999
Aves,Apalis,lynesi,11.175,-999
Aves,Apalis,melanocephala,8.75,-999
Aves,Apalis,nigriceps,8.4,-999
Aves,Apalis,personata,9.425,-999
Aves,Apalis,porphyrolaema,8.5,-999
Aves,Apalis,ruddi,9.7,-999
Aves,Apalis,rufogularis,8,-999
Aves,Apalis,sharpii,8.7,-999
Aves,Apalis,thoracica,11.175,-999
Aves,Artisornis,metopias,8.575,-999
Aves,Artisornis,moreaui,9.1,-999
Aves,Bathmocercus,cerviniventris,15.8,-999
Aves,Bathmocercus,rufus,15.45,-999
Aves,Calamonastes,fasciolatus,13.1,-999
Aves,Calamonastes,simplex,-999,-999
Aves,Calamonastes,stierlingi,13.25,-999
Aves,Calamonastes,undosus,13.25,-999
Aves,Camaroptera,brachyura,9.808333334,-999
Aves,Camaroptera,brevicaudata,10,-999
Aves,Camaroptera,chloronota,10.575,-999
Aves,Camaroptera,harterti,10,-999
Aves,Camaroptera,superciliaris,9.5,-999
Aves,Cisticola,aberdare,24,-999
Aves,Cisticola,aberrans,13.95,-999
Aves,Cisticola,angusticauda,-999,-999
Aves,Cisticola,anonymus,13.25,-999
Aves,Cisticola,aridulus,9.25,-999
Aves,Cisticola,ayresii,7,-999
Aves,Cisticola,bodessa,17.5,-999
Aves,Cisticola,brachypterus,7.575,-999
Aves,Cisticola,brunnescens,8,-999
Aves,Cisticola,bulliens,14.3,-999
Aves,Cisticola,cantans,11.7,-999
Aves,Cisticola,carruthersi,11.7,-999
Aves,Cisticola,cherina,9.85,-999
Aves,Cisticola,chiniana,14.975,-999
Aves,Cisticola,chubbi,16.1,-999
Aves,Cisticola,cinereolus,16.175,-999
Aves,Cisticola,cinnamomeus,8.5,-999
Aves,Cisticola,dambo,9,-999
Aves,Cisticola,distinctus,13.85,-999
Aves,Cisticola,emini,13.95,-999
Aves,Cisticola,erythrops,13.9,-999
Aves,Cisticola,exilis,7.325,-999
Aves,Cisticola,eximius,12,-999
Aves,Cisticola,fulvicapilla,8.25,-999
Aves,Cisticola,galactotes,15.025,-999
Aves,Cisticola,guinea,9.7,-999
Aves,Cisticola,haematocephalus,15.025,-999
Aves,Cisticola,haesitatus,7,-999
Aves,Cisticola,hunteri,15.5,-999
Aves,Cisticola,juncidis,7.55,-999
Aves,Cisticola,lais,13.85,-999
Aves,Cisticola,lateralis,16.55,-999
Aves,Cisticola,lepe,13.9,-999
Aves,Cisticola,luapula,15.025,-999
Aves,Cisticola,lugubris,15.025,-999
Aves,Cisticola,marginatus,15.025,-999
Aves,Cisticola,melanurus,8.75,-999
Aves,Cisticola,nana,5,-999
Aves,Cisticola,natalensis,16.9,-999
Aves,Cisticola,nigriloris,19.75,-999
Aves,Cisticola,njombe,11,-999
Aves,Cisticola,pipiens,13.5,-999
Aves,Cisticola,restrictus,13.35,-999
Aves,Cisticola,robustus,19,-999
Aves,Cisticola,ruficeps,10.15,-999
Aves,Cisticola,rufilatus,11.325,-999
Aves,Cisticola,rufus,7.55,-999
Aves,Cisticola,subruficapilla,10.35,-999
Aves,Cisticola,textrix,11.1,-999
Aves,Cisticola,tinniens,13.25,-999
Aves,Cisticola,woosnami,13.5,-999
Aves,Drymocichla,incana,10,-999
Aves,Eminia,lepida,19.6,-999
Aves,Eremomela,atricollis,10.5,-999
Aves,Eremomela,badiceps,10.6,-999
Aves,Eremomela,canescens,7,-999
Aves,Eremomela,flavicrissalis,4.5,-999
Aves,Eremomela,gregalis,6.85,-999
Aves,Eremomela,icteropygialis,7.525,-999
Aves,Eremomela,pusilla,6.2,-999
Aves,Eremomela,salvadorii,7.525,-999
Aves,Eremomela,scotops,9,-999
Aves,Eremomela,turneri,7.5,-999
Aves,Eremomela,usticollis,8.4,-999
Aves,Euryptila,subcinnamomea,11.5,-999
Aves,Heliolais,erythropterus,11.5,-999
Aves,Hypergerus,atriceps,29.35,-999
Aves,Incana,incana,10.5,-999
Aves,Malcorus,pectoralis,10.15,-999
Aves,Neomixis,striatigula,8.075,-999
Aves,Neomixis,tenella,6.9625,-999
Aves,Neomixis,viridis,7,-999
Aves,Oreolais,pulcher,8.4,-999
Aves,Oreolais,ruwenzorii,9.9,-999
Aves,Oreophilais,robertsi,10.1,-999
Aves,Orthotomus,atrogularis,7.75,-999
Aves,Orthotomus,castaneiceps,7.925,-999
Aves,Orthotomus,chloronotus,7.925,-999
Aves,Orthotomus,cinereiceps,9.025,-999
Aves,Orthotomus,derbianus,10.7,-999
Aves,Orthotomus,frontalis,7.85,-999
Aves,Orthotomus,nigriceps,9.625,-999
Aves,Orthotomus,ruficeps,-999,-999
Aves,Orthotomus,samarensis,9,-999
Aves,Orthotomus,sepium,8.35,-999
Aves,Orthotomus,sericeus,10.8,-999
Aves,Orthotomus,sutorius,7.5,-999
Aves,Phragmacia,substriata,11.2,-999
Aves,Phyllolais,pulchella,6,-999
Aves,Poliolais,lopezi,12.05,-999
Aves,Prinia,atrogularis,11.8,-999
Aves,Prinia,bairdii,13.4,-999
Aves,Prinia,buchanani,7,-999
Aves,Prinia,crinigera,14.15,-999
Aves,Prinia,familiaris,-999,-999
Aves,Prinia,flavicans,8.475,-999
Aves,Prinia,flaviventris,7,-999
Aves,Prinia,fluviatilis,-999,-999
Aves,Prinia,gracilis,7.3,-999
Aves,Prinia,hodgsonii,6.4,-999
Aves,Prinia,hypoxantha,9.125,-999
Aves,Prinia,inornata,8.475,-999
Aves,Prinia,maculosa,8.95,-999
Aves,Prinia,melanops,13.4,-999
Aves,Prinia,molleri,8.75,-999
Aves,Prinia,polychroa,11,-999
Aves,Prinia,rufescens,6.5,-999
Aves,Prinia,socialis,8,-999
Aves,Prinia,somalica,7.5,-999
Aves,Prinia,subflava,8.65,-999
Aves,Prinia,superciliaris,11.8,-999
Aves,Prinia,sylvatica,15.8,-999
Aves,Scepomycter,rubehoensis,15.5,-999
Aves,Scepomycter,winifredae,15.5,-999
Aves,Schistolais,leontica,12.4,-999
Aves,Schistolais,leucopogon,12,-999
Aves,Spiloptila,clamans,7,-999
Aves,Urolais,epichlorus,11.3,-999
Aves,Urorhipis,rufifrons,6.475,-999
Aves,Climacteris,affinis,21.7,-999
Aves,Climacteris,erythrops,23.3,-999
Aves,Climacteris,melanurus,31.9,-999
Aves,Climacteris,picumnus,29.4,-999
Aves,Climacteris,rufus,32.675,-999
Aves,Cormobates,leucophaea,22.3,8.5
Aves,Cormobates,placens,30,8.5
Aves,Cnemophilus,loriae,82,-999
Aves,Cnemophilus,macgregorii,102.5,-999
Aves,Loboparadisea,sericea,62.25,-999
Aves,Coereba,flaveola,10,6.916666667
Aves,Conopophaga,ardesiaca,26.3,-999
Aves,Conopophaga,aurita,26.5,-999
Aves,Conopophaga,castaneiceps,27,-999
Aves,Conopophaga,cearae,25.35,-999
Aves,Conopophaga,lineata,25.35,-999
Aves,Conopophaga,melanogaster,42.5,-999
Aves,Conopophaga,melanops,20.35,-999
Aves,Conopophaga,peruviana,23,-999
Aves,Conopophaga,roberti,20.8,-999
Aves,Pittasoma,michleri,109,-999
Aves,Pittasoma,rufopileatum,96.5,-999
Aves,Corcorax,melanorhamphos,364,16.3
Aves,Struthidea,cinerea,131,25
Aves,Aphelocoma,californica,82.75,15.8
Aves,Aphelocoma,coerulescens,78.725,15.8
Aves,Aphelocoma,insularis,108.5,15.8
Aves,Aphelocoma,ultramarina,124,19
Aves,Aphelocoma,unicolor,125.5,-999
Aves,Aphelocoma,wollweberi,124,19
Aves,Aphelocoma,woodhouseii,82.75,15.8
Aves,Calocitta,colliei,223.5,-999
Aves,Calocitta,formosa,210,-999
Aves,Cissa,chinensis,129.25,-999
Aves,Cissa,hypoleuca,-999,-999
Aves,Cissa,jefferyi,-999,-999
Aves,Cissa,thalassina,-999,-999
Aves,Coloeus,monedula,246,14.5
Aves,Corvus,albicollis,942,-999
Aves,Corvus,albus,560.5,-999
Aves,Corvus,bennetti,396.25,-999
Aves,Corvus,brachyrhynchos,453,14.6
Aves,Corvus,capensis,553,-999
Aves,Corvus,caurinus,387,16.68333333
Aves,Corvus,corax,1097,21.8335
Aves,Corvus,cornix,544.5,16.8
Aves,Corvus,corone,544.5,14.66666667
Aves,Corvus,coronoides,640,21.8
Aves,Corvus,crassirostris,1135,-999
Aves,Corvus,cryptoleucus,536.5,12.5
Aves,Corvus,culminatus,544.75,-999
Aves,Corvus,dauuricus,204.5,-999
Aves,Corvus,edithae,587.75,-999
Aves,Corvus,enca,253.5,-999
Aves,Corvus,frugilegus,453.5,19.91683333
Aves,Corvus,hawaiiensis,520,25
Aves,Corvus,imparatus,217.75,-999
Aves,Corvus,insularis,550,-999
Aves,Corvus,jamaicensis,337.75,-999
Aves,Corvus,kubaryi,247.25,-999
Aves,Corvus,leucognaphalus,-999,-999
Aves,Corvus,levaillantii,526.5,-999
Aves,Corvus,macrorhynchos,544.75,-999
Aves,Corvus,meeki,469.25,-999
Aves,Corvus,mellori,536.75,-999
Aves,Corvus,minutus,289,-999
Aves,Corvus,moneduloides,309,-999
Aves,Corvus,nasicus,420,-999
Aves,Corvus,orru,550,-999
Aves,Corvus,ossifragus,285.05,14.5
Aves,Corvus,palmarum,-999,-999
Aves,Corvus,rhipidurus,634.625,-999
Aves,Corvus,ruficollis,593,-999
Aves,Corvus,sinaloae,244,-999
Aves,Corvus,splendens,312,5.083333333
Aves,Corvus,tasmanicus,658.75,21.8
Aves,Corvus,torquatus,465.5,-999
Aves,Corvus,tristis,635,-999
Aves,Corvus,unicolor,253.5,-999
Aves,Corvus,violaceus,252.25,-999
Aves,Corvus,woodfordi,469.25,-999
Aves,Crypsirina,cucullata,-999,-999
Aves,Crypsirina,temia,-999,-999
Aves,Cyanocitta,cristata,85.25,18.3
Aves,Cyanocitta,stelleri,120,16.09166667
Aves,Cyanocorax,affinis,212.5,-999
Aves,Cyanocorax,beecheii,194,-999
Aves,Cyanocorax,caeruleus,272,36
Aves,Cyanocorax,cayanus,175,-999
Aves,Cyanocorax,chrysops,162,-999
Aves,Cyanocorax,cristatellus,178,-999
Aves,Cyanocorax,cyanomelas,214.5,-999
Aves,Cyanocorax,cyanopogon,157,-999
Aves,Cyanocorax,dickeyi,178.5,-999
Aves,Cyanocorax,luxuosus,79.11666667,10.7
Aves,Cyanocorax,melanocyaneus,101,-999
Aves,Cyanocorax,mystacalis,149,-999
Aves,Cyanocorax,sanblasianus,108.25,-999
Aves,Cyanocorax,violaceus,262,-999
Aves,Cyanocorax,yncas,79.11666667,10.7
Aves,Cyanocorax,yucatanicus,118,-999
Aves,Cyanolyca,argentigula,132.5,-999
Aves,Cyanolyca,armillata,200,-999
Aves,Cyanolyca,cucullata,94.2,-999
Aves,Cyanolyca,mirabilis,52.4,-999
Aves,Cyanolyca,nanus,41.5,-999
Aves,Cyanolyca,pumilo,47,-999
Aves,Cyanolyca,turcosa,127,-999
Aves,Cyanolyca,viridicyanus,127,-999
Aves,Cyanopica,cooki,92,-999
Aves,Cyanopica,cyanus,92,-999
Aves,Dendrocitta,bayleii,103,-999
Aves,Dendrocitta,cinerascens,95.15,-999
Aves,Dendrocitta,formosae,103.75,-999
Aves,Dendrocitta,frontalis,-999,-999
Aves,Dendrocitta,leucogastra,99.2,-999
Aves,Dendrocitta,occipitalis,95.15,-999
Aves,Dendrocitta,vagabunda,109,-999
Aves,Garrulus,glandarius,160.85,17
Aves,Garrulus,lanceolatus,97.55,-999
Aves,Garrulus,lidthi,-999,-999
Aves,Gymnorhinus,cyanocephalus,105,11
Aves,Nucifraga,caryocatactes,183,16.08333333
Aves,Nucifraga,columbiana,130,17.4
Aves,Nucifraga,multipunctata,180,16.08333333
Aves,Perisoreus,canadensis,71.1,17.16666667
Aves,Perisoreus,infaustus,84.5,15.61666667
Aves,Perisoreus,internigrans,104.75,-999
Aves,Pica,hudsonia,189,9.333333333
Aves,Pica,nuttalli,154.05,9.916666667
Aves,Pica,pica,213.375,10.49166667
Aves,Platylophus,galericulatus,77.9,-999
Aves,Platysmurus,leucopterus,181,-999
Aves,Podoces,biddulphi,-999,-999
Aves,Podoces,hendersoni,121.5,-999
Aves,Podoces,panderi,91.05,-999
Aves,Podoces,pleskei,88.75,-999
Aves,Psilorhinus,morio,214,-999
Aves,Ptilostomus,afer,128,-999
Aves,Pyrrhocorax,graculus,223.5,23.33333333
Aves,Pyrrhocorax,pyrrhocorax,247.75,20.3
Aves,Temnurus,temnurus,-999,-999
Aves,Urocissa,caerulea,257,-999
Aves,Urocissa,erythroryncha,166.25,-999
Aves,Urocissa,flavirostris,158.875,-999
Aves,Urocissa,ornata,196,-999
Aves,Urocissa,whiteheadi,-999,-999
Aves,Zavattariornis,stresemanni,-999,-999
Aves,Ampelioides,tschudii,80.45,-999
Aves,Ampelion,rubrocristatus,64.4,-999
Aves,Ampelion,rufaxilla,73.45,-999
Aves,Carpodectes,antoniae,98,-999
Aves,Carpodectes,hopkei,102,-999
Aves,Carpodectes,nitidus,102.5,-999
Aves,Carpornis,cucullata,74.2,-999
Aves,Carpornis,melanocephala,64.275,-999
Aves,Cephalopterus,glabricollis,385,-999
Aves,Cephalopterus,ornatus,380,-999
Aves,Cephalopterus,penduliger,338,-999
Aves,Conioptilon,mcilhennyi,90,-999
Aves,Cotinga,amabilis,70.5,-999
Aves,Cotinga,cayana,62.9,-999
Aves,Cotinga,cotinga,54,-999
Aves,Cotinga,maculata,65,-999
Aves,Cotinga,maynana,69,-999
Aves,Cotinga,nattererii,-999,-999
Aves,Cotinga,ridgwayi,58.85,-999
Aves,Doliornis,remseni,64.175,-999
Aves,Doliornis,sclateri,60.6,-999
Aves,Gymnoderus,foetidus,277,-999
Aves,Haematoderus,militaris,227,-999
Aves,Lipaugus,fuscocinereus,138,-999
Aves,Lipaugus,lanioides,96.15,-999
Aves,Lipaugus,streptophorus,56.725,-999
Aves,Lipaugus,unirufus,82,-999
Aves,Lipaugus,uropygialis,116,-999
Aves,Lipaugus,vociferans,75.1,-999
Aves,Lipaugus,weberi,72.1,-999
Aves,Perissocephalus,tricolor,351.5,-999
Aves,Phoenicircus,carnifex,73.5,-999
Aves,Phoenicircus,nigricollis,96.5,-999
Aves,Phytotoma,raimondii,39.9,-999
Aves,Phytotoma,rara,46.875,-999
Aves,Phytotoma,rutila,40.525,-999
Aves,Pipreola,arcuata,118,-999
Aves,Pipreola,aureopectus,46,-999
Aves,Pipreola,chlorolepidota,29.5,-999
Aves,Pipreola,formosa,47.85,-999
Aves,Pipreola,frontalis,42.4,-999
Aves,Pipreola,intermedia,52.1125,-999
Aves,Pipreola,jucunda,46,-999
Aves,Pipreola,lubomirskii,46,-999
Aves,Pipreola,pulchra,51.55,-999
Aves,Pipreola,riefferii,49.6,-999
Aves,Pipreola,whitelyi,50,-999
Aves,Porphyrolaema,porphyrolaema,60,-999
Aves,Procnias,albus,210,-999
Aves,Procnias,averano,154.35,-999
Aves,Procnias,nudicollis,200,-999
Aves,Procnias,tricarunculatus,210,-999
Aves,Pyroderus,scutatus,357,-999
Aves,Querula,purpurata,105.05,-999
Aves,Rupicola,peruvianus,254.0833333,-999
Aves,Rupicola,rupicola,189,7
Aves,Snowornis,cryptolophus,73.775,-999
Aves,Snowornis,subalaris,81.2,-999
Aves,Tijuca,condita,80,-999
Aves,Xipholena,atropurpurea,61.5,-999
Aves,Xipholena,lamellipennis,-999,-999
Aves,Xipholena,punicea,68,-999
Aves,Zaratornis,stresemanni,52.1,-999
Aves,Cracticus,cassicus,142.25,-999
Aves,Cracticus,mentalis,84.55,-999
Aves,Cracticus,nigrogularis,126.65,-999
Aves,Cracticus,quoyi,170,-999
Aves,Cracticus,torquatus,80.675,-999
Aves,Gymnorhina,tibicen,290.5,20.45833333
Aves,Peltops,blainvillii,30,-999
Aves,Peltops,montanus,31.6,-999
Aves,Strepera,fuliginosa,343,-999
Aves,Strepera,graculina,283.5,13
Aves,Strepera,versicolor,400,-999
Aves,Dasyornis,brachypterus,41.5,-999
Aves,Dasyornis,broadbenti,67.9,-999
Aves,Dasyornis,longirostris,37.025,-999
Aves,Dicaeum,aeneum,9.2,-999
Aves,Dicaeum,aeruginosum,9,-999
Aves,Dicaeum,agile,9,-999
Aves,Dicaeum,annae,10,-999
Aves,Dicaeum,anthonyi,11.45,-999
Aves,Dicaeum,aureolimbatum,8.3,-999
Aves,Dicaeum,australe,9.2,-999
Aves,Dicaeum,bicolor,9,-999
Aves,Dicaeum,celebicum,6.5,-999
Aves,Dicaeum,chrysorrheum,9,-999
Aves,Dicaeum,concolor,6.5,-999
Aves,Dicaeum,cruentatum,6.55,-999
Aves,Dicaeum,erythrorhynchos,6.3,-999
Aves,Dicaeum,erythrothorax,9,-999
Aves,Dicaeum,eximium,7.9,-999
Aves,Dicaeum,geelvinkianum,6.9,-999
Aves,Dicaeum,haematostictum,8.95,-999
Aves,Dicaeum,hirundinaceum,8.8,-999
Aves,Dicaeum,hypoleucum,8.125,-999
Aves,Dicaeum,ignipectus,5.8,-999
Aves,Dicaeum,maugei,-999,-999
Aves,Dicaeum,melanoxanthum,-999,-999
Aves,Dicaeum,minullum,6.5,-999
Aves,Dicaeum,nigrilore,10.975,-999
Aves,Dicaeum,nitidum,7.3,-999
Aves,Dicaeum,pectorale,7.3,-999
Aves,Dicaeum,proprium,10.2,-999
Aves,Dicaeum,pygmaeum,4.9,-999
Aves,Dicaeum,retrocinctum,6.25,-999
Aves,Dicaeum,schistaceiceps,9,-999
Aves,Dicaeum,trigonostigma,7.125,-999
Aves,Dicaeum,tristrami,11.6,-999
Aves,Dicaeum,vincens,-999,-999
Aves,Dicaeum,virescens,6.5,-999
Aves,Dicaeum,vulneratum,9,-999
Aves,Prionochilus,maculatus,7.825,-999
Aves,Prionochilus,olivaceus,9.375,-999
Aves,Prionochilus,percussus,-999,-999
Aves,Prionochilus,plateni,8.5,-999
Aves,Prionochilus,thoracicus,8.9,-999
Aves,Prionochilus,xanthopygius,7.575,-999
Aves,Chaetorhynchus,papuensis,37.15,-999
Aves,Dicrurus,adsimilis,42.2,-999
Aves,Dicrurus,aeneus,26,-999
Aves,Dicrurus,aldabranus,48.5,-999
Aves,Dicrurus,andamanensis,-999,-999
Aves,Dicrurus,annectans,44,-999
Aves,Dicrurus,atripennis,39.975,-999
Aves,Dicrurus,balicassius,72.05,-999
Aves,Dicrurus,bracteatus,82.25,7.916666667
Aves,Dicrurus,caerulescens,39.15,-999
Aves,Dicrurus,densus,79.18333333,7.916666667
Aves,Dicrurus,forficatus,47.05,-999
Aves,Dicrurus,hottentottus,79.18333333,7.916666667
Aves,Dicrurus,leucophaeus,38.5,-999
Aves,Dicrurus,lophorinus,73,-999
Aves,Dicrurus,ludwigii,29.45,-999
Aves,Dicrurus,macrocercus,48.5,-999
Aves,Dicrurus,megarhynchus,129.75,-999
Aves,Dicrurus,menagei,79.18333333,7.916666667
Aves,Dicrurus,modestus,44.5,-999
Aves,Dicrurus,montanus,61,-999
Aves,Dicrurus,paradiseus,73,-999
Aves,Dicrurus,remifer,44.05,-999
Aves,Dicrurus,sumatranus,79.18333333,7.916666667
Aves,Donacobius,atricapilla,37.5,-999
Aves,Dulus,dominicus,47.675,-999
Aves,Aimophila,botterii,20.125,-999
Aves,Aimophila,notosticta,27.1,-999
Aves,Aimophila,rufescens,33.925,-999
Aves,Aimophila,ruficeps,18.75,3.2
Aves,Ammodramus,aurifrons,17.275,-999
Aves,Ammodramus,bairdii,17.9,4.591666667
Aves,Ammodramus,caudacutus,17.475,10
Aves,Ammodramus,henslowii,12.775,6.5
Aves,Ammodramus,humeralis,16,-999
Aves,Ammodramus,leconteii,13.4,4.083333333
Aves,Ammodramus,maritimus,23.25,8.958333333
Aves,Ammodramus,nelsoni,16.825,10
Aves,Ammodramus,sandwichensis,20.05,6.916666667
Aves,Ammodramus,savannarum,17.9,5.1
Aves,Amphispiza,bilineata,13.5,6
Aves,Amphispiza,quinquestriata,20,4
Aves,Arremon,abeillei,25.9,-999
Aves,Arremon,assimilis,-999,-999
Aves,Arremon,atricapillus,-999,-999
Aves,Arremon,aurantiirostris,34.5,-999
Aves,Arremon,basilicus,-999,-999
Aves,Arremon,brunneinucha,44.05,-999
Aves,Arremon,castaneiceps,36.825,-999
Aves,Arremon,costaricensis,-999,-999
Aves,Arremon,crassirostris,36.95,-999
Aves,Arremon,flavirostris,26.625,-999
Aves,Arremon,franciscanus,23.95,-999
Aves,Arremon,perijanus,-999,-999
Aves,Arremon,phaeopleurus,-999,-999
Aves,Arremon,phygas,-999,-999
Aves,Arremon,schlegeli,27.6,-999
Aves,Arremon,semitorquatus,24.9,-999
Aves,Arremon,taciturnus,24.9,-999
Aves,Arremon,torquatus,40.75,-999
Aves,Arremon,virenticeps,41,-999
Aves,Arremonops,chloronotus,27.55,-999
Aves,Arremonops,conirostris,37.2,-999
Aves,Arremonops,rufivirgatus,22.83333333,6.9
Aves,Artemisiospiza,belli,18.1,-999
Aves,Artemisiospiza,nevadensis,18.1,5.75
Aves,Atlapetes,albinucha,33.5,-999
Aves,Atlapetes,albofrenatus,30,-999
Aves,Atlapetes,canigenis,30.675,-999
Aves,Atlapetes,citrinellus,28,-999
Aves,Atlapetes,crassus,35.625,-999
Aves,Atlapetes,fulviceps,28.2,-999
Aves,Atlapetes,fuscoolivaceus,32.5,-999
Aves,Atlapetes,latinuchus,22.2,-999
Aves,Atlapetes,leucopterus,20.8,-999
Aves,Atlapetes,melanocephalus,25,-999
Aves,Atlapetes,melanolaemus,21.55,-999
Aves,Atlapetes,nationi,41.775,-999
Aves,Atlapetes,pallidinucha,32.35,-999
Aves,Atlapetes,personatus,32.55,-999
Aves,Atlapetes,pileatus,24,-999
Aves,Atlapetes,rufinucha,21.55,-999
